,homeTeam,awayTeam,finalHomeScore,finalAwayScore,solHomePred,solAwayPred,solPoints,philHomePred,philAwayPred,philPoints,jonnyHomePred,jonnyAwayPred,jonnyPoints,lilaHomePred,lilaAwayPred,lilaPoints,jacobHomePred,jacobAwayPred,jacobPoints,samHomePred,samAwayPred,samPoints,weekNum,solBanker,solInsurance,philBanker,philInsurance,jonnyBanker,jonnyInsurance,samBanker,samInsurance,jacobBanker,jacobInsurance,lilaBanker,lilaInsurance
ede5d234-b65d-45b2-a35b-465440c985c9,Man Utd,Man City,2,0,1,2,-10,2,2,-10,1,2,-10,1,2,-10,1,2,-10,1,2,-10,25,False,False,False,False,False,False,False,False,False,False,False,False
036f9c79-cae3-461d-aba7-6ee1c9ccab06,Leicester,Aston Villa,4,0,2,0,10,1,1,-10,2,1,10,2,0,10,2,1,10,2,1,10,25,False,False,False,False,False,False,False,False,False,False,False,False
5af97041-60f7-4d13-8c67-5fbab153cd8a,Aston Villa,Sheffield United,0,0,2,3,-10,1,1,60,1,1,20,1,1,20,2,1,-10,0,2,-10,26,False,False,True,False,False,False,False,False,False,False,False,False
6c399137-c7be-409d-8b37-7419e199349d,Man City,Arsenal,3,0,1,1,-10,2,2,0,1,1,0,2,2,-10,3,1,10,2,1,10,26,False,False,False,True,False,True,False,False,False,False,False,False
ea607765-3c22-4290-a26a-bf7f0735b09a,Norwich City,Southampton,0,3,1,0,-10,2,2,-10,1,2,10,1,2,10,1,2,10,1,1,-10,26,False,False,False,False,False,False,False,False,False,False,False,False
c01496a1-745b-420b-85ca-6e314ec56d53,Tottenham,Man Utd,1,1,1,3,-10,1,2,-10,1,2,-10,1,2,-10,1,1,90,1,2,0,26,False,False,False,False,False,False,False,True,True,False,False,False
7a667c78-c7eb-4e64-ad4b-5182c5a82bdd,Watford,Leicester,1,1,1,2,-10,1,1,30,0,2,-10,2,1,-10,2,0,-10,2,4,-10,26,False,False,False,False,False,False,False,False,False,False,False,False
96fb33c9-4a48-4a13-abf5-c3e002f89c23,Brighton,Arsenal,2,1,1,2,-30,1,1,-10,0,2,-10,1,3,0,1,1,-10,1,2,-10,26,True,False,False,False,False,False,False,False,False,False,False,True
0c9f4be4-fe6e-4641-9cda-94c512e065e1,West Ham,Wolves,0,2,1,2,10,1,1,-10,1,2,10,1,2,10,2,2,-10,0,2,90,26,False,False,False,False,False,False,True,False,False,False,False,False
5600ef79-501c-4308-b391-ff341593b384,Bournemouth,Crystal Pal,0,2,0,2,30,2,1,-10,1,0,-10,1,1,-10,1,1,0,1,1,-10,26,False,False,False,False,False,False,False,False,False,True,False,False
7fff58b0-252e-4923-9f0f-d88fe6a24481,Newcastle,Sheffield United,3,0,1,1,-10,3,1,10,0,1,-10,2,2,-10,1,2,-10,1,1,-10,26,False,False,False,False,False,False,False,False,False,False,False,False
e620c9fb-7824-4ca8-bac6-62b7043c9e35,Aston Villa,Chelsea,1,2,1,3,10,1,2,30,1,2,30,1,3,10,0,1,15,1,3,10,26,False,False,False,False,False,False,False,False,False,False,False,False
a5d7e1b0-0de3-4e44-86e7-ec8d833f3e9d,Everton,Liverpool,0,0,0,0,30,1,1,20,1,3,-10,1,3,-20,1,1,20,1,3,-10,26,False,True,False,False,False,False,False,False,False,False,True,False
